,x,y,Comment
0,1,19.0,Ok...
1,2,58.0,Ok...
2,3,29.0,Ok...
3,4,88.0,Ok...
4,5,44.0,Ok...
5,6,22.0,Ok...
6,7,11.0,Ok...
7,8,34.0,Ok...
8,9,17.0,Ok...
9,10,52.0,Ok...
10,11,26.0,Ok...
11,12,13.0,Ok...
12,13,40.0,Ok...
13,14,20.0,Ok...
14,15,10.0,Ok...
15,16,5.0,Ok...
16,17,16.0,Ok...
17,18,8.0,Ok...
18,19,4.0,What...?
19,20,2.0,What...?
20,21,1.0,What...?
21,22,4.0,What...?
22,23,2.0,What...?
23,24,1.0,What...?
24,25,4.0,What...?
25,26,2.0,What...?
26,27,1.0,What...?
27,28,4.0,What...?
28,29,2.0,What...?
29,30,1.0,What...?
30,31,4.0,What...?
31,32,2.0,What...?
32,33,1.0,What...?
33,34,4.0,What...?
34,35,2.0,What...?
35,36,1.0,What...?
36,37,4.0,What...?
37,38,2.0,What...?
38,39,1.0,What...?
39,40,4.0,What...?
40,41,2.0,What...?
41,42,1.0,What...?
42,43,4.0,What...?
43,44,2.0,What...?
44,45,1.0,What...?
45,46,4.0,What...?
46,47,2.0,What...?
47,48,1.0,What...?
48,49,4.0,What...?
49,50,2.0,What...?
50,51,1.0,What...?
51,52,4.0,What...?
52,53,2.0,What...?
53,54,1.0,What...?
54,55,4.0,What...?
55,56,2.0,What...?
56,57,1.0,What...?
57,58,4.0,What...?
58,59,2.0,What...?
59,60,1.0,What...?
60,61,4.0,What...?
61,62,2.0,What...?
62,63,1.0,What...?
63,64,4.0,What...?
64,65,2.0,What...?
65,66,1.0,What...?
66,67,4.0,What...?
67,68,2.0,What...?
68,69,1.0,What...?
69,70,4.0,What...?
70,71,2.0,What...?
71,72,1.0,What...?
72,73,4.0,What...?
73,74,2.0,What...?
74,75,1.0,What...?
75,76,4.0,What...?
76,77,2.0,What...?
77,78,1.0,What...?
78,79,4.0,What...?
79,80,2.0,What...?
80,81,1.0,What...?
81,82,4.0,What...?
82,83,2.0,What...?
83,84,1.0,What...?
84,85,4.0,What...?
85,86,2.0,What...?
86,87,1.0,What...?
87,88,4.0,What...?
88,89,2.0,What...?
89,90,1.0,What...?
90,91,4.0,What...?
91,92,2.0,What...?
92,93,1.0,What...?
93,94,4.0,What...?
94,95,2.0,What...?
95,96,1.0,What...?
96,97,4.0,What...?
97,98,2.0,What...?
98,99,1.0,What...?
99,100,4.0,What...?
